ticket_id,created_at,resolved_at,status,priority,category,environment,assignee,reporter,team,department_requester,tag,sla_target_hours,resolution_hours,sla_breached,satisfaction_score,story_points,reopen_count,is_escalated,sprint
TKT-89471,2025-11-02 19:14,2025-11-03 04:14,Cancelled,Critical,Incident,Production,Vinicius Araújo,Raquel Torres,Squad Gamma,Comercial,,4,9,Não,,2,0,Não,Sprint 1
TKT-63545,2025-08-19 22:38,2025-08-20 12:38,In Review,High,Security,Staging,Pedro Henrique,Débora Martins,QA Team,Financeiro,,8,14,Não,,,0,Não,Sprint 9
TKT-28643,2025-02-06 01:10,2025-02-06 12:10,In Review,High,Change Request,Development,Julia Moraes,Eduardo Campos,QA Team,TI,acesso,8,11,Sim,,8,0,Sim,
TKT-85392,2025-10-28 00:48,,In Progress,Medium,Incident,Homologation,Renata Teixeira,Marina Queiroz,Infra Team,Operações,integração,24,,,4,1,1,Não,Sprint 18
TKT-14809,21/08/2025 02:20,2025-08-21 19:20,Cancelled,Critical,Change Request,Homologation,Lucas Ferreira,Olivia Vaz,Squad Alpha,Comercial,frontend,4,17,Sim,,3,0,Não,Sprint 10
TKT-67424,2025-12-24 15:07,2025-12-25 02:07,Done,Medium,Security,Development,Helena Pinto,Simone Barros,QA Team,Jurídico,backend,24,11,Não,4,2,0,Não,
TKT-41946,2025-08-22 17:09,2025-08-22 23:09,Done,Medium,Task,Homologation,Natalia Costa,Nelson Cardoso,Squad Gamma,Logística,frontend,24,6,Não,,3,1,Não,Sprint 18
TKT-81228,2025-07-13 14:59,2025-07-13 20:59,In Review,Medium,Change Request,Staging,Helena Pinto,Karen Azevedo,Infra Team,TI,acesso,24,6,Sim,,,1,Não,
TKT-53515,2025-02-21 14:06,2025-02-21 16:06,In Review,HIGH,Incident,Homologation,Mateus Oliveira,Gustavo Nobre,Squad Alpha,Financeiro,,8,2,Sim,4,,0,Não,Sprint 10
TKT-39817,16/02/2025 13:06,,Not Started,High,Task,Staging,Ana Souza,Patricia Leal,Squad Gamma,RH,integração,8,,,,2,0,Sim,
TKT-91226,2025-12-16 07:31,2025-12-16 17:31,In Review,High,Change Request,Development,Lucas Ferreira,Leonardo Brito,QA Team,Jurídico,,8,10,Sim,,,0,Não,Sprint 10
TKT-36111,2025-07-16 15:06,,In Progress,High,Task,Homologation,Mateus Oliveira,Paulo Rezende,QA Team,Comercial,,8,,,,,3,Não,Sprint 21
TKT-34920,2025-11-14 08:43,2025-11-14 14:43,Done,Low,Change Request,Staging,  Pedro Henrique,Isabel Freitas,Squad Gamma,RH,backend,72,6,Não,,,0,Não,
TKT-57953,09/29/2025 16:58,2025-09-30 06:58,Done,Critical,Feature Request,Homologation,Julia Moraes,Gustavo Nobre,Infra Team,Financeiro,,4,14,Não,,1,0,Não,Sprint 18
TKT-26199,21/08/2025 11:43,2025-08-21 21:43,Done,High,Incident,Homologation,Tatiane Gomes,Raquel Torres,Squad Alpha,RH,backend,8,10,Não,5,5,2,Sim,Sprint 16
TKT-25220,2025-02-19 07:56,2025-02-20 01:56,In Review,Critical,Performance,Development,Yasmin Pereira,Eduardo Campos,Squad Alpha,Marketing,integração,4,18,Sim,,5,2,Não,
TKT-57012,2025-02-01 12:17,2025-02-02 04:17,In Review,Critical,Feature Request,Staging,Gabriel Nunes,Raquel Torres,Squad Alpha,Comercial,,4,16,Não,,3,0,Não,
TKT-40539,06/18/2025 04:50,2025-06-18 12:50,Done,Medium,Feature Request,Development,Tatiane Gomes,Amanda Silva,Squad Alpha,RH,frontend,24,8,Não,,3,1,Não,Sprint 14
TKT-78955,2025-02-28 23:04,2025-03-01 04:04,Done,Low,Bug,Homologation,Samuel Ribeiro,Marcos Duarte,Infra Team,Financeiro,acesso,72,5,Sim,3,,0,Não,Sprint 5
TKT-18609,2025-03-06 08:39,,In Progress,Critical,Performance,Staging,Pedro Henrique,Karen Azevedo,QA Team,Logística,backend,4,,,,,0,Não,Sprint 15
TKT-62262,2025-08-01 23:06,,Not Started,High,Incident,Homologation,Larissa Vieira,Olivia Vaz,Squad Alpha,Operações,autenticação,8,,,4,13,0,Não,Sprint 19
TKT-76507,2025-04-19 04:42,2025-04-19 14:42,Done,High,Task,Production,Igor Alves,Karen Azevedo,QA Team,TI,,8,10,Não,,,1,Não,
TKT-50499,2025-06-23 11:00,2025-06-24 05:00,Done,Critical,Security,Development,Lucas Ferreira,Nelson Cardoso,Squad Alpha,TI,relatório,4,18,Sim,,2,0,Não,
TKT-16522,2025-12-12 02:17,,Not Started,Critical,Bug,Production,Carla Mendes,Paulo Rezende,Squad Gamma,Operações,mobile,4,,,3,5,3,Não,
TKT-43491,2025-05-29 10:07,,In Progress,Medium,Task,Homologation,Bruno Lima,Patricia Leal,QA Team,Jurídico,acesso,24,,,,,1,Não,Sprint 11
TKT-32527,2025-11-13 14:53,2025-11-13 19:53,Cancelled,Low,Task,Staging,Mateus Oliveira,Gustavo Nobre,Infra Team,Marketing,database,72,5,Não,,13,0,Não,
TKT-29358,2025-05-01 03:09,,Not Started,Low,Task,Development,Renata Teixeira,Paulo Rezende,Infra Team,RH,,72,,,,8,0,Não,Sprint 21
TKT-49691,2025-05-21 18:03,2025-05-22 06:03,In Review,Critical,Task,Production,Larissa Vieira,Ricardo Farias,Infra Team,Comercial,backend,4,12,Sim,,8,0,Não,Sprint 5
TKT-18109,2025-08-19 03:51,2025-08-19 07:51,In Review,Low,Security,Development,Fernanda Castro,Flávia Melo,Squad Alpha,Marketing,integração,72,4,Não,5,,0,Sim,Sprint 10
TKT-43029,03/12/2025 19:55,,In Progress,Medium,Incident,Staging,Julia Moraes,João Victor,Squad Alpha,Jurídico,backend,24,,,,5,0,Não,Sprint 10
TKT-33627,2025-04-20 10:49,2025-04-20 17:49,Done,Medium,Incident,Staging,Carla Mendes,Olivia Vaz,QA Team,RH,,24,7,Não,,,0,Não,
TKT-91885,03/26/2025 23:28,2025-03-27 06:28,Done,Medium,Feature Request,Development,Yasmin Pereira,Leonardo Brito,Infra Team,Logística,api,24,7,Não,,5,2,Não,
TKT-75916,2025-09-28 13:10,2025-09-29 01:10,In Review,High,Performance,Staging,Larissa Vieira,Simone Barros,QA Team,Logística,autenticação,8,12,Sim,,,0,Não,Sprint 14
TKT-22021,2025-04-24 14:56,2025-04-25 05:56,In Review,Critical,Security,Development,Helena Pinto,Ricardo Farias,Squad Gamma,RH,frontend,4,15,Sim,,1,1,Sim,
TKT-71925,2025-12-23 04:48,,In Progress,Low,Change Request,Homologation,Yasmin Pereira,Simone Barros,Squad Alpha,Financeiro,,72,,,,1,0,Não,Sprint 18
TKT-12154,2025-11-20 16:36,2025-11-20 21:36,Done,Low,Task,Production,Helena Pinto,Amanda Silva,QA Team,Logística,backend,72,5,Não,,3,0,Sim,Sprint 12
TKT-43246,2025-01-09 11:50,2025-01-09 14:50,In Review,Low,Security,Homologation,Kaio Santos,Isabel Freitas,Squad Gamma,RH,database,72,3,Não,,,0,Sim,
TKT-69988,19/01/2025 09:12,,Not Started,High,Incident,Production,Samuel Ribeiro,Olivia Vaz,Infra Team,Operações,frontend,8,,,,,0,Não,Sprint 13
TKT-67637,2025-07-17 10:11,2025-07-17 22:11,Done,High,Incident,Homologation,Yasmin Pereira,Amanda Silva,QA Team,RH,integração,8,12,Sim,,3,0,Não,Sprint 2
TKT-56210,2025-11-11 13:17,2025-11-11 23:17,In Review,Critical,Feature Request,Production,Fernanda Castro,Thiago Correia,Squad Gamma,Marketing,,4,10,Sim,,,0,Não,
TKT-14244,2025-11-06 04:43,2025-11-06 09:43,Done,Low,Performance,Development,  Carla Mendes,Amanda Silva,Infra Team,Comercial,relatório,72,5,Sim,,,0,Não,Sprint 16
TKT-36237,03/04/2025 04:54,2025-03-04 23:54,In Review,Critical,Security,Staging,Kaio Santos,Ricardo Farias,Infra Team,Comercial,mobile,4,19,Sim,,,1,Não,Sprint 5
TKT-41029,09/10/2025 00:23,2025-09-10 08:23,Done,Medium,Change Request,Homologation,Renata Teixeira,Karen Azevedo,Infra Team,RH,,24,8,Não,1,3,0,Não,
TKT-93859,2025-10-28 05:49,2025-10-28 09:49,In Review,Low,Task,Production,Samuel Ribeiro,Ricardo Farias,Squad Gamma,RH,autenticação,72,4,Sim,3,13,0,Não,Sprint 20
TKT-54252,2025-10-16 01:52,,In Progress,critical,Security,Development,Igor Alves,Paulo Rezende,Infra Team,Comercial,frontend,4,,,,13,0,Não,Sprint 10
TKT-69446,2025-02-07 22:03,,In Progress,Medium,Change Request,Production,Larissa Vieira,Thiago Correia,QA Team,Logística,,24,,,3,1,0,Não,Sprint 10
TKT-60351,2025-11-12 13:15,2025-11-13 01:15,In Review,High,Task,Homologation,Fernanda Castro,Nelson Cardoso,Squad Gamma,Comercial,mobile,8,12,Sim,,1,2,Não,Sprint 10
TKT-74866,2025-11-02 20:43,2025-11-03 01:43,In Review,low,Task,Development,Igor Alves,João Victor,Squad Alpha,Jurídico,relatório,72,5,Sim,,8,0,Não,
TKT-46663,2025-11-16 21:39,2025-11-17 06:39,In Review,High,Security,Development,Larissa Vieira,Caio Ramos,Infra Team,Logística,relatório,8,9,Sim,,1,0,Não,
TKT-28321,2025-06-17 19:20,2025-06-18 09:20,In Review,High,Change Request,Development,Samuel Ribeiro,Paulo Rezende,Squad Alpha,Logística,frontend,8,14,Não,,13,0,Não,Sprint 19
TKT-85711,2025-04-27 23:03,2025-04-28 16:03,Done,Critical,Feature Request,Homologation,  Helena Pinto,Simone Barros,Infra Team,TI,acesso,4,17,Sim,,2,0,Não,Sprint 18
TKT-52604,2025-12-06 15:33,2025-12-07 11:33,Done,High,Incident,Development,Igor Alves,Caio Ramos,Squad Gamma,Logística,,8,20,Não,,3,0,Não,Sprint 24
TKT-45842,2025-05-28 03:36,,Not Started,Critical,Task,Development,Larissa Vieira,Eduardo Campos,Squad Gamma,Financeiro,api,4,,,4,8,0,Não,Sprint 8
TKT-16653,2025-12-09 16:14,,In Progress,High,Security,Homologation,Carla Mendes,Thiago Correia,Infra Team,Comercial,autenticação,8,,,,,0,Não,Sprint 10
TKT-17754,2025-02-15 20:36,2025-02-16 01:36,Done,Medium,Security,Development,Fernanda Castro,Patricia Leal,Squad Alpha,TI,,24,5,Não,,5,0,Não,Sprint 11
TKT-47298,2025-08-21 20:34,,In Progress,Critical,Task,Staging,Carla Mendes,Leonardo Brito,Squad Gamma,Jurídico,database,4,,,,3,1,Não,Sprint 3
TKT-62538,12/09/2025 03:11,2025-12-09 10:11,Done,Medium,Bug,Homologation,Julia Moraes,Paulo Rezende,QA Team,RH,integração,24,7,Não,4,,0,Não,Sprint 23
TKT-50760,2025-12-20 03:40,2025-12-20 11:40,Done,Medium,Performance,Staging,Yasmin Pereira,Olivia Vaz,Squad Gamma,Financeiro,,24,8,Sim,5,,1,Não,Sprint 12
TKT-20237,2025-10-16 03:03,,In Progress,Medium,Bug,Homologation,Samuel Ribeiro,Caio Ramos,Squad Gamma,Jurídico,acesso,24,,,,8,0,Não,Sprint 15
TKT-98181,2025-06-07 23:01,2025-06-08 06:01,In Review,Low,Change Request,Production,Larissa Vieira,Olivia Vaz,QA Team,Jurídico,,72,7,Sim,,,0,Não,Sprint 21
TKT-94656,2025-08-04 11:57,2025-08-04 17:57,Done,Medium,Task,Homologation,Helena Pinto,Marcos Duarte,Squad Gamma,Comercial,,24,6,Sim,5,13,0,Não,Sprint 7
TKT-24790,2025-01-17 21:26,2025-01-18 04:26,In Review,Low,Performance,Production,Ana Souza,Patricia Leal,Squad Gamma,Operações,frontend,72,7,Não,,2,0,Não,
TKT-85511,2025-06-13 18:38,,In Progress,Medium,Security,Homologation,Tatiane Gomes,Amanda Silva,Infra Team,Jurídico,relatório,24,,,3,1,3,Não,Sprint 6
TKT-80507,2025-08-31 07:54,2025-08-31 12:54,Cancelled,Low,Change Request,Development,Natalia Costa,Thiago Correia,Squad Alpha,Comercial,mobile,72,5,Não,,13,0,Sim,Sprint 20
TKT-89026,2025-01-21 02:12,2025-01-21 08:12,In Review,Medium,Performance,Homologation,Kaio Santos,Marcos Duarte,Squad Gamma,Comercial,api,24,6,Sim,,,0,Não,Sprint 11
TKT-47101,2025-07-14 14:34,2025-07-15 03:34,Cancelled,Critical,Task,Homologation,Gabriel Nunes,Karen Azevedo,QA Team,RH,api,4,13,Sim,,,0,Não,Sprint 19
TKT-42208,2025-09-13 17:41,2025-09-14 07:41,Cancelled,Critical,Bug,Production,Fernanda Castro,Isabel Freitas,Squad Alpha,TI,autenticação,4,14,Sim,,8,3,Não,Sprint 21
TKT-40334,2025-02-04 22:09,2025-02-05 03:09,Done,Low,Performance,Homologation,Tatiane Gomes,Marcos Duarte,Squad Gamma,Financeiro,mobile,72,5,Não,2,3,0,Não,Sprint 8
TKT-35156,11/14/2025 16:16,2025-11-14 20:16,Cancelled,Low,Change Request,Production,Helena Pinto,Ricardo Farias,Squad Alpha,RH,frontend,72,4,Não,5,5,0,Sim,
TKT-94529,19/06/2025 18:54,2025-06-20 01:54,Done,Medium,Task,Production,Vinicius Araújo,Patricia Leal,Squad Gamma,Marketing,,24,7,Sim,,,0,Sim,Sprint 5
TKT-62205,09/02/2025 09:10,2025-09-03 03:10,Done,Critical,Security,Development,Kaio Santos,Thiago Correia,Squad Alpha,Financeiro,,4,18,Não,,,0,Não,
TKT-54642,2025-11-06 19:38,2025-11-07 08:38,Done,Hig,Bug,Development,Fernanda Castro,João Victor,Squad Gamma,Jurídico,performance,8,13,Sim,,2,0,Não,Sprint 24
TKT-61068,2025-06-12 11:06,2025-06-13 03:06,Cancelled,High,Performance,Homologation,Samuel Ribeiro,Marcos Duarte,Squad Alpha,Operações,autenticação,8,16,Não,3,8,1,Não,
TKT-83339,2025-05-05 18:33,,Not Started,High,Feature Request,Development,Bruno Lima,Débora Martins,Squad Alpha,Jurídico,acesso,8,,,3,2,0,Não,Sprint 11
TKT-67700,21/06/2025 13:52,,In Progress,High,Security,Homologation,Gabriel Nunes,Amanda Silva,Squad Gamma,Marketing,,8,,,,,0,Não,
TKT-61502,2025-07-06 03:59,2025-07-06 08:59,Done,Medium,Bug,Homologation,Lucas Ferreira,Leonardo Brito,Infra Team,RH,,24,5,Não,,3,1,Não,Sprint 22
TKT-30203,2025-08-05 12:04,2025-08-05 22:04,Done,Critical,Feature Request,Development,Natalia Costa,Isabel Freitas,Squad Gamma,TI,autenticação,4,10,Sim,,1,0,Não,Sprint 21
TKT-62378,2025-06-19 13:06,2025-06-20 00:06,Done,Medium,Incident,Homologation,Mateus Oliveira,Paulo Rezende,Squad Alpha,Financeiro,database,24,11,Não,,1,0,Não,
TKT-55656,2025-06-09 10:29,2025-06-10 02:29,In Review,Critical,Security,Staging,Pedro Henrique,Flávia Melo,Squad Gamma,RH,backend,4,16,Não,,3,0,Não,Sprint 14
TKT-70562,2025-04-29 12:40,2025-04-29 20:40,Done,Medium,Bug,Development,Igor Alves,Ricardo Farias,Infra Team,Marketing,autenticação,24,8,Sim,4,3,0,Não,Sprint 19
TKT-24972,28/06/2025 11:54,,Not Started,High,Feature Request,Homologation,Vinicius Araújo,Thiago Correia,QA Team,RH,api,8,,,,2,0,Não,Sprint 16
TKT-93296,2025-10-03 22:58,2025-10-04 09:58,In Review,Critical,Feature Request,Homologation,Fernanda Castro,Leonardo Brito,Infra Team,Jurídico,integração,4,11,Não,,,0,Não,Sprint 15
TKT-74054,2025-03-27 02:36,2025-03-27 08:36,Done,Low,Incident,Development,Tatiane Gomes,Leonardo Brito,Squad Alpha,Logística,acesso,72,6,Não,,1,0,Não,
TKT-23423,01/12/2025 07:19,2025-01-12 17:19,Cancelled,High,Incident,Homologation,Bruno Lima,Simone Barros,Squad Gamma,RH,,8,10,Não,,13,0,Não,
TKT-17780,2025-10-19 11:34,,Not Started,High,Performance,Staging,Samuel Ribeiro,Simone Barros,Squad Gamma,Comercial,relatório,8,,,,,3,Não,Sprint 8
TKT-98635,2025-07-21 15:09,2025-07-22 05:09,In Review,Critical,Bug,Homologation,Larissa Vieira,Marina Queiroz,Infra Team,Financeiro,frontend,4,14,Não,5,,1,Não,Sprint 14
TKT-37767,2025-09-11 08:20,,In Progress,Medium,Change Request,Staging,Ana Souza,Leonardo Brito,Squad Gamma,Operações,database,24,,,5,1,3,Não,
TKT-45916,2025-02-17 20:23,2025-02-18 05:23,In Review,Medium,Change Request,Production,Bruno Lima,Marcos Duarte,Squad Alpha,Marketing,backend,24,9,Não,,2,0,Não,
TKT-65353,2025-12-22 04:30,2025-12-22 08:30,Cancelled,Low,Task,Production,Larissa Vieira,Thiago Correia,Squad Gamma,Logística,database,72,4,Não,,13,0,Não,Sprint 24
TKT-29840,2025-07-30 19:43,2025-07-31 00:43,Done,Low,Security,Production,Carla Mendes,João Victor,Squad Gamma,Operações,relatório,72,5,Não,,2,0,Não,Sprint 22
TKT-49537,2025-04-16 16:38,2025-04-16 18:38,In Review,Low,Incident,Staging,Mateus Oliveira,Marina Queiroz,QA Team,Jurídico,backend,72,2,Não,,1,3,Não,Sprint 16
TKT-19567,09/01/2025 18:04,2025-09-02 00:04,In Review,low,Task,Staging,Mateus Oliveira,Nelson Cardoso,QA Team,Financeiro,,72,6,Não,,5,0,Não,Sprint 7
TKT-30365,2025-10-02 10:25,,In Progress,Critical,Incident,Staging,Helena Pinto,Ricardo Farias,Squad Alpha,TI,,4,,,,8,0,Não,
TKT-31473,2025-09-12 11:33,2025-09-12 16:33,Cancelled,Medium,Incident,Production,Natalia Costa,Ricardo Farias,Infra Team,RH,performance,24,5,Sim,3,5,0,Não,Sprint 4
TKT-85223,2025-12-12 23:07,2025-12-13 10:07,In Review,medum,Change Request,Staging,Renata Teixeira,Thiago Correia,Infra Team,Comercial,frontend,24,11,Não,,13,0,Não,
TKT-45554,02/09/2025 18:23,,In Progress,Low,Bug,Development,Bruno Lima,Flávia Melo,Squad Gamma,Operações,,72,,,,1,0,Não,Sprint 20
TKT-41795,2025-08-26 11:37,2025-08-26 15:37,Done,Medium,Security,Homologation,  Natalia Costa,Olivia Vaz,QA Team,Financeiro,frontend,24,4,Não,,,0,Não,
TKT-65026,09/09/2025 01:09,2025-09-09 16:09,Done,HIGH,Performance,Homologation,Samuel Ribeiro,Isabel Freitas,Squad Alpha,TI,backend,8,15,Não,,8,0,Não,
TKT-41034,2025-05-30 08:54,2025-05-30 16:54,In Review,High,Performance,Staging,Vinicius Araújo,Simone Barros,Infra Team,Operações,acesso,8,8,Não,3,1,0,Não,
TKT-21851,2025-03-22 21:19,2025-03-23 01:19,Cancelled,medum,Change Request,Homologation,Helena Pinto,João Victor,Squad Gamma,Financeiro,mobile,24,4,Não,,2,0,Não,
TKT-28322,2025-03-04 00:03,,Not Started,Critical,Security,Homologation,Bruno Lima,Eduardo Campos,Squad Gamma,Financeiro,,4,,,,1,0,Não,
TKT-53456,2025-03-04 01:29,2025-03-04 16:29,In Review,Critical,Task,Homologation,Pedro Henrique,Patricia Leal,Squad Alpha,Financeiro,performance,4,15,Sim,3,3,0,Não,Sprint 7
TKT-94233,2025-09-27 07:40,2025-09-27 22:40,In Review,Critical,Bug,Development,Tatiane Gomes,Isabel Freitas,Squad Gamma,TI,,4,15,Não,,5,0,Não,
TKT-17679,2025-08-30 16:22,,In Progress,Low,Performance,Homologation,Helena Pinto,Patricia Leal,Infra Team,RH,,72,,,,,0,Não,Sprint 24
TKT-57026,2025-10-30 00:45,2025-10-30 05:45,Done,Medium,Incident,Staging,Fernanda Castro,Ricardo Farias,Squad Gamma,Marketing,performance,24,5,Sim,,8,0,Não,
TKT-52413,01/31/2025 00:09,2025-01-31 06:09,Done,High,Security,Homologation,Larissa Vieira,João Victor,Infra Team,Marketing,integração,8,6,Sim,,2,3,Não,
TKT-90440,2025-07-02 07:42,2025-07-02 10:42,In Review,High,Performance,Staging,Lucas Ferreira,Paulo Rezende,Squad Alpha,Logística,performance,8,3,Não,,8,0,Não,
TKT-41194,2025-06-27 10:10,,In Progress,High,Change Request,Homologation,Igor Alves,Ricardo Farias,Squad Gamma,Jurídico,backend,8,,,,,0,Não,Sprint 18
TKT-59197,2025-02-21 15:50,2025-02-21 20:50,In Review,Low,Feature Request,Production,Ana Souza,Gustavo Nobre,Squad Alpha,Marketing,backend,72,5,Sim,,2,1,Não,Sprint 16
TKT-14062,2025-08-09 20:10,,Not Started,Low,Task,Homologation,Tatiane Gomes,Olivia Vaz,Squad Gamma,TI,mobile,72,,,,1,0,Não,Sprint 10
TKT-96772,11/17/2025 19:30,2025-11-18 06:30,Done,High,Security,Homologation,Renata Teixeira,Flávia Melo,Squad Gamma,Marketing,,8,11,Não,,13,0,Não,Sprint 15
TKT-15848,05/15/2025 14:29,,Not Started,Medium,Task,Homologation,Vinicius Araújo,Patricia Leal,Squad Gamma,Logística,,24,,,3,,0,Não,Sprint 23
TKT-14551,15/09/2025 18:57,2025-09-15 21:57,Done,Medium,Change Request,Production,Pedro Henrique,Amanda Silva,QA Team,Comercial,,24,3,Sim,,,0,Não,Sprint 20
TKT-43801,2025-06-13 23:58,2025-06-14 14:58,Done,Critical,Bug,Homologation,Igor Alves,Marcos Duarte,Squad Gamma,RH,,4,15,Sim,,8,1,Não,Sprint 4
TKT-23845,2025-10-16 03:50,2025-10-16 23:50,Done,Critical,Security,Homologation,Renata Teixeira,Marina Queiroz,Squad Alpha,Jurídico,mobile,4,20,Não,,8,0,Não,Sprint 8
TKT-16460,01/09/2025 08:57,,Not Started,High,Security,Homologation,Carla Mendes,Débora Martins,Squad Alpha,Comercial,acesso,8,,,,,0,Não,
